FileName,Area,BoundingBoxArea,ConvexArea,Eccentricity,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,MaxIntensity,MinIntensity,MeanIntensity,Perimeter,filled_area,solidity,Porosity,Permeability
TC (998).jpeg,6060.5,49284,45747.5,0.545441138,159.1150895,14.18184445,262.1837967,206.5637357,209,45.5,129.6326915,1344.391486,24881.5,0.501446125,0.256,336.94
BB (752).jpg,6065.5,48396,44266.5,0.525430688,153.2567681,38.75512197,282.4412918,225.1105716,209,19,105.8470142,1317.054437,25029,0.501492736,0.257,11.3
BB (748).jpg,6078.625,48396,44764,0.538504859,153.7537496,30.18218367,279.433969,220.4410454,218.5,5.5,106.8110184,1196.660515,25121.5,0.501682058,0.257,11.3
BB (744).jpg,6096.875,48840,44586,0.511424327,152.1463394,36.98315243,256.0353053,212.6868054,216.5,9,102.1660476,1019.698052,24856,0.50234486,0.257,11.3
SD (22).jpeg,6079.75,48729,40483,0.53936054,146.0121953,-45.99521816,268.4322756,202.7261738,157,67,113.3795791,1174.186904,24744.5,0.503563759,0.158,278.85
BB (720).jpg,6056.625,49284,43261.5,0.526381627,153.7971786,37.09818115,282.329386,221.6936521,229,15,112.8007935,1408.111309,25180.5,0.503835531,0.257,11.3
SD (394).jpeg,6035.25,49284,43613.5,0.567100205,155.6397477,-3.219165876,278.9326446,215.1905934,151,57.5,105.8996404,1605.029094,26332.5,0.504799625,0.158,278.85
SD (20).jpeg,6099.625,47508,40245.5,0.511474921,145.657271,-44.48623477,252.4353033,203.5945415,152,62,116.134111,985.6000718,24717,0.505002736,0.158,278.85
SD (994).jpeg,6096.75,42624,40977,0.531196588,147.4837121,-37.42403163,310.0120446,218.2464691,198.5,60,112.4447037,1014.620887,24765.5,0.505386954,0.158,278.85
SD (992).jpeg,6085.75,42624,41197,0.573021228,148.7828859,-27.29112511,312.6692659,200.694447,175.5,63.5,114.2740775,1111.136129,24564.5,0.505869776,0.158,278.85
BB (747).jpg,6098.5,48396,42809.5,0.512573445,152.3884488,30.79425266,269.6274214,221.2112403,216,11,102.5912213,1019.819372,25026,0.506548568,0.257,11.3
SD (985).jpeg,6076.375,44067,42421.5,0.614338384,153.3007378,-33.0127135,305.6392393,187.8967072,154.5,62,109.2137847,1200.994516,24565.5,0.507243942,0.158,278.85
TC (911).jpeg,6022,47841,45365,0.514526397,166.3698526,54.6721662,277.0854027,227.7285424,202,52,124.2947281,1706.244822,25266.5,0.507553732,0.256,336.94
ALB (165).jpeg,6043.75,49284,45301,0.56532825,158.5050622,-13.68266933,303.5731375,236.9467671,190,74.5,141.2499293,1519.07325,25573.5,0.508201485,0.208,10.23
ALB (668).jpeg,6043.75,49284,45301,0.56532825,158.5050622,-13.68266933,303.5731375,236.9467671,190,74.5,141.2499293,1519.07325,25573.5,0.508201485,0.208,10.23
SD (984).jpeg,6073.625,43845,41672.5,0.614055589,153.2201117,-35.1544777,303.8357597,181.7271526,153.5,61.5,107.7840433,1225.725486,24423,0.509129889,0.158,278.85
